,file,number,date_time,weight,Sex_Limit_Category,species,farm,house,gender,pen
5,JC06M02,1,2022-10-07 13:09:31,1.017,not used,J,C,06,M,02
6,JC06M02,2,2022-10-07 13:09:38,1.152,not used,J,C,06,M,02
7,JC06M02,3,2022-10-07 13:09:48,1.433,not used,J,C,06,M,02
8,JC06M02,4,2022-10-07 13:10:00,1.254,not used,J,C,06,M,02
9,JC06M02,5,2022-10-07 13:10:08,1.430,not used,J,C,06,M,02
10,JC06M02,6,2022-10-07 13:10:20,1.369,not used,J,C,06,M,02
11,JC06M02,7,2022-10-07 13:10:28,1.354,not used,J,C,06,M,02
12,JC06M02,8,2022-10-07 13:10:37,1.327,not used,J,C,06,M,02
13,JC06M02,9,2022-10-07 13:10:44,1.306,not used,J,C,06,M,02
14,JC06M02,10,2022-10-07 13:10:52,1.450,not used,J,C,06,M,02
15,JC06M02,11,2022-10-07 13:10:59,1.359,not used,J,C,06,M,02
16,JC06M02,12,2022-10-07 13:11:07,1.282,not used,J,C,06,M,02
17,JC06M02,13,2022-10-07 13:11:15,1.436,not used,J,C,06,M,02
18,JC06M02,14,2022-10-07 13:11:22,1.414,not used,J,C,06,M,02
19,JC06M02,15,2022-10-07 13:11:30,1.447,not used,J,C,06,M,02
20,JC06M02,16,2022-10-07 13:11:37,1.374,not used,J,C,06,M,02
21,JC06M02,17,2022-10-07 13:11:44,1.630,not used,J,C,06,M,02
22,JC06M02,18,2022-10-07 13:11:55,1.333,not used,J,C,06,M,02
23,JC06M02,19,2022-10-07 13:12:03,1.675,not used,J,C,06,M,02
24,JC06M02,20,2022-10-07 13:12:13,1.454,not used,J,C,06,M,02
33,JC06M03,1,2022-10-07 13:12:51,1.297,not used,J,C,06,M,03
34,JC06M03,2,2022-10-07 13:13:00,1.379,not used,J,C,06,M,03
35,JC06M03,3,2022-10-07 13:13:08,1.314,not used,J,C,06,M,03
36,JC06M03,4,2022-10-07 13:13:15,1.448,not used,J,C,06,M,03
37,JC06M03,5,2022-10-07 13:13:25,1.321,not used,J,C,06,M,03
38,JC06M03,6,2022-10-07 13:13:32,1.270,not used,J,C,06,M,03
39,JC06M03,7,2022-10-07 13:13:40,1.284,not used,J,C,06,M,03
40,JC06M03,8,2022-10-07 13:13:51,1.381,not used,J,C,06,M,03
41,JC06M03,9,2022-10-07 13:13:57,1.111,not used,J,C,06,M,03
42,JC06M03,10,2022-10-07 13:14:07,1.282,not used,J,C,06,M,03
43,JC06M03,11,2022-10-07 13:14:14,1.252,not used,J,C,06,M,03
44,JC06M03,12,2022-10-07 13:14:20,1.160,not used,J,C,06,M,03
45,JC06M03,13,2022-10-07 13:14:27,1.399,not used,J,C,06,M,03
46,JC06M03,14,2022-10-07 13:14:35,1.424,not used,J,C,06,M,03
47,JC06M03,15,2022-10-07 13:14:41,1.343,not used,J,C,06,M,03
48,JC06M03,16,2022-10-07 13:14:51,1.247,not used,J,C,06,M,03
49,JC06M03,17,2022-10-07 13:14:57,1.278,not used,J,C,06,M,03
50,JC06M03,18,2022-10-07 13:15:04,1.160,not used,J,C,06,M,03
51,JC06M03,19,2022-10-07 13:15:14,1.109,not used,J,C,06,M,03
52,JC06M03,20,2022-10-07 13:15:20,1.397,not used,J,C,06,M,03
61,JC06M04,1,2022-10-07 13:15:56,1.516,not used,J,C,06,M,04
62,JC06M04,2,2022-10-07 13:16:06,1.415,not used,J,C,06,M,04
63,JC06M04,3,2022-10-07 13:16:14,1.578,not used,J,C,06,M,04
64,JC06M04,4,2022-10-07 13:16:21,1.381,not used,J,C,06,M,04
65,JC06M04,5,2022-10-07 13:16:27,1.286,not used,J,C,06,M,04
66,JC06M04,6,2022-10-07 13:16:34,1.521,not used,J,C,06,M,04
67,JC06M04,7,2022-10-07 13:16:41,1.353,not used,J,C,06,M,04
68,JC06M04,8,2022-10-07 13:16:54,1.257,not used,J,C,06,M,04
69,JC06M04,9,2022-10-07 13:17:00,1.650,not used,J,C,06,M,04
70,JC06M04,10,2022-10-07 13:17:07,1.230,not used,J,C,06,M,04
